Date,Region,"Total First Vaccine Doses","Total Fully Vaccinated","Total Vaccine Doses","New First Vaccine Doses","New Fully Vaccinated","New Vaccine Doses"
2020/08/09,Saskatoon,,,,,,
2020/08/09,"Central West",,,,,,
2020/08/09,"Central West",,,,,,
2020/08/09,"Central East",,,,,,
2020/08/09,"Central East",,,,,,
2020/08/09,"Central East",,,,,,
2020/08/09,"Central East",,,,,,
2020/08/09,"Central East",,,,,,
2020/08/09,Regina,,,,,,
2020/08/09,"South West",,,,,,
2020/08/09,"South West",,,,,,
2020/08/09,"South Central",,,,,,
2020/08/09,"South Central",,,,,,
2020/08/09,"South East",,,,,,
2020/08/09,"South East",,,,,,
2020/08/09,"South East",,,,,,
2020/08/09,"South East",,,,,,
2020/08/10,"Far North West",,,,,,
2020/08/10,"Far North West",,,,,,
2020/08/10,"Far North Central",,,,,,
2020/08/10,"Far North East",,,,,,
2020/08/10,"Far North East",,,,,,
2020/08/10,"North West",,,,,,
2020/08/10,"North West",,,,,,
2020/08/10,"North West",,,,,,
2020/08/10,"North West",,,,,,
2020/08/10,"North Central",,,,,,
2020/08/10,"North Central",,,,,,
2020/08/10,"North Central",,,,,,
2020/08/10,"North East",,,,,,
2020/08/10,"North East",,,,,,
2020/08/10,"North East",,,,,,
2020/08/10,Saskatoon,,,,,,
2020/08/10,"Central West",,,,,,
2020/08/10,"Central West",,,,,,
2020/08/10,"Central East",,,,,,
2020/08/10,"Central East",,,,,,
2020/08/10,"Central East",,,,,,
2020/08/10,"Central East",,,,,,
2020/08/10,"Central East",,,,,,
2020/08/10,Regina,,,,,,
2020/08/10,"South West",,,,,,
2020/08/10,"South West",,,,,,
2020/08/10,"South Central",,,,,,
2020/08/10,"South Central",,,,,,
2020/08/10,"South East",,,,,,
2020/08/10,"South East",,,,,,
2020/08/10,"South East",,,,,,
2020/08/10,"South East",,,,,,
2020/08/11,"Far North West",,,,,,
2020/08/11,"Far North West",,,,,,
2020/08/11,"Far North Central",,,,,,
2020/08/11,"Far North East",,,,,,
2020/08/11,"Far North East",,,,,,
2020/08/11,"North West",,,,,,
2020/08/11,"North West",,,,,,
2020/08/11,"North West",,,,,,
2020/08/11,"North West",,,,,,
2020/08/11,"North Central",,,,,,
2020/08/11,"North Central",,,,,,
2020/08/11,"North Central",,,,,,
2020/08/11,"North East",,,,,,
2020/08/11,"North East",,,,,,
2020/08/11,"North East",,,,,,
2020/08/11,Saskatoon,,,,,,
2020/08/11,"Central West",,,,,,
2020/08/11,"Central West",,,,,,
2020/08/11,"Central East",,,,,,
2020/08/11,"Central East",,,,,,
2020/08/11,"Central East",,,,,,
2020/08/11,"Central East",,,,,,
2020/08/11,"Central East",,,,,,
2020/08/11,Regina,,,,,,
2020/08/11,"South West",,,,,,
2020/08/11,"South West",,,,,,
2020/08/11,"South Central",,,,,,
2020/08/11,"South Central",,,,,,
2020/08/11,"South East",,,,,,
2020/08/11,"South East",,,,,,
2020/08/11,"South East",,,,,,
2020/08/11,"South East",,,,,,
2020/08/12,"Far North West",,,,,,
2020/08/12,"Far North West",,,,,,
2020/08/12,"Far North Central",,,,,,
2020/08/12,"Far North East",,,,,,
2020/08/12,"Far North East",,,,,,
2020/08/12,"North West",,,,,,
2020/08/12,"North West",,,,,,
2020/08/12,"North West",,,,,,
2020/08/12,"North West",,,,,,
2020/08/12,"North Central",,,,,,
2020/08/12,"North Central",,,,,,
2020/08/12,"North Central",,,,,,
2020/08/12,"North East",,,,,,
2020/08/12,"North East",,,,,,
2020/08/12,"North East",,,,,,
2020/08/12,Saskatoon,,,,,,
2020/08/12,"Central West",,,,,,
2020/08/12,"Central West",,,,,,
2020/08/12,"Central East",,,,,,
2020/08/12,"Central East",,,,,,
2020/08/12,"Central East",,,,,,
2020/08/12,"Central East",,,,,,
2020/08/12,"Central East",,,,,,
2020/08/12,Regina,,,,,,
2020/08/12,"South West",,,,,,
2020/08/12,"South West",,,,,,
2020/08/12,"South Central",,,,,,
2020/08/12,"South Central",,,,,,
2020/08/12,"South East",,,,,,
2020/08/12,"South East",,,,,,
2020/08/12,"South East",,,,,,
2020/08/12,"South East",,,,,,
2020/08/13,"Far North West",,,,,,
2020/08/13,"Far North West",,,,,,
2020/08/13,"Far North Central",,,,,,
2020/08/13,"Far North East",,,,,,
2020/08/13,"Far North East",,,,,,
2020/08/13,"North West",,,,,,
2020/08/13,"North West",,,,,,
2020/08/13,"North West",,,,,,
2020/08/13,"North West",,,,,,
2020/08/13,"North Central",,,,,,
2020/08/13,"North Central",,,,,,
2020/08/13,"North Central",,,,,,
2020/08/13,"North East",,,,,,
2020/08/13,"North East",,,,,,
2020/08/13,"North East",,,,,,
2020/08/13,Saskatoon,,,,,,
2020/08/13,"Central West",,,,,,
2020/08/13,"Central West",,,,,,
2020/08/13,"Central East",,,,,,
2020/08/13,"Central East",,,,,,
2020/08/13,"Central East",,,,,,
2020/08/13,"Central East",,,,,,
2020/08/13,"Central East",,,,,,
2020/08/13,Regina,,,,,,
2020/08/13,"South West",,,,,,
2020/08/13,"South West",,,,,,
2020/08/13,"South Central",,,,,,
2020/08/13,"South Central",,,,,,
2020/08/13,"South East",,,,,,
2020/08/13,"South East",,,,,,
2020/08/13,"South East",,,,,,
2020/08/13,"South East",,,,,,
2020/08/14,"Far North West",,,,,,
2020/08/14,"Far North West",,,,,,
2020/08/14,"Far North Central",,,,,,
2020/08/14,"Far North East",,,,,,
