Date,Region,"Total Cases","Active Cases","Inpatient Hospitalizations","ICU Hospitalizations","Recovered Cases",Deaths,"New Cases","Age 4 and Under","Age 5 to 11","Age 12 to 19","Age 20 to 39","Ages 40 to 59","Age 60 to 79","Age 80+"
2020/08/07,"Far North East",6,0,0,0,6,0,0,,,,,,,
2020/08/07,"Far North East",,0,,,,,0,,,,,,,
2020/08/07,"North West",99,1,0,0,85,4,0,,,,,,,
2020/08/07,"North West",,3,,,,,0,,,,,,,
2020/08/07,"North West",,4,,,,,1,,,,,,,
2020/08/07,"North West",,2,,,,,0,,,,,,,
2020/08/07,"North Central",63,4,0,1,58,1,0,,,,,,,
2020/08/07,"North Central",,0,,,,,0,,,,,,,
2020/08/07,"North Central",,0,,,,,0,,,,,,,
2020/08/07,"North East",65,1,0,0,48,0,0,,,,,,,
2020/08/07,"North East",,16,,,,,0,,,,,,,
2020/08/07,"North East",,0,,,,,0,,,,,,,
2020/08/07,Saskatoon,221,13,4,3,206,2,3,,,,,,,
2020/08/07,"Central West",159,29,0,0,109,0,0,,,,,,,
2020/08/07,"Central West",,21,,,,,0,,,,,,,
2020/08/07,"Central East",30,1,1,0,24,1,0,,,,,,,
2020/08/07,"Central East",,3,,,,,2,,,,,,,
2020/08/07,"Central East",,0,,,,,0,,,,,,,
2020/08/07,"Central East",,1,,,,,0,,,,,,,
2020/08/07,"Central East",,0,,,,,0,,,,,,,
2020/08/07,Regina,102,14,1,0,86,2,2,,,,,,,
2020/08/07,"South West",153,20,2,0,129,1,2,,,,,,,
2020/08/07,"South West",,3,,,,,1,,,,,,,
2020/08/07,"South Central",154,27,1,0,124,2,12,,,,,,,
2020/08/07,"South Central",,1,,,,,0,,,,,,,
2020/08/07,"South East",11,0,0,0,8,0,0,,,,,,,
2020/08/07,"South East",,0,,,,,0,,,,,,,
2020/08/07,"South East",,3,,,,,0,,,,,,,
2020/08/07,"South East",,0,,,,,0,,,,,,,
2020/08/07,Total,1409,168,9,4,1221,20,23,,,,446,445,243,49
2020/08/08,"Far North West",346,1,0,0,338,7,0,,,,,,,
2020/08/08,"Far North West",,0,,,,,0,,,,,,,
2020/08/08,"Far North Central",0,0,0,0,0,0,0,,,,,,,
2020/08/08,"Far North East",6,0,0,0,6,0,0,,,,,,,
2020/08/08,"Far North East",,0,,,,,0,,,,,,,
2020/08/08,"North West",99,1,0,0,87,4,0,,,,,,,
2020/08/08,"North West",,2,,,,,0,,,,,,,
2020/08/08,"North West",,4,,,,,0,,,,,,,
2020/08/08,"North West",,1,,,,,0,,,,,,,
2020/08/08,"North Central",66,4,0,1,61,1,3,,,,,,,
2020/08/08,"North Central",,0,,,,,0,,,,,,,
2020/08/08,"North Central",,0,,,,,0,,,,,,,
2020/08/08,"North East",65,1,0,0,52,0,0,,,,,,,
2020/08/08,"North East",,12,,,,,0,,,,,,,
2020/08/08,"North East",,0,,,,,0,,,,,,,
2020/08/08,Saskatoon,224,13,3,4,209,2,11,,,,,,,
2020/08/08,"Central West",159,24,0,0,114,0,0,,,,,,,
2020/08/08,"Central West",,21,,,,,0,,,,,,,
2020/08/08,"Central East",30,0,0,0,26,1,0,,,,,,,
2020/08/08,"Central East",,3,,,,,0,,,,,,,
2020/08/08,"Central East",,0,,,,,0,,,,,,,
2020/08/08,"Central East",,0,,,,,0,,,,,,,
2020/08/08,"Central East",,0,,,,,0,,,,,,,
2020/08/08,Regina,113,25,1,0,86,2,3,,,,,,,
2020/08/08,"South West",154,21,3,0,129,1,1,,,,,,,
2020/08/08,"South West",,3,,,,,0,,,,,,,
2020/08/08,"South Central",159,26,1,0,129,2,4,,,,,,,
2020/08/08,"South Central",,2,,,,,1,,,,,,,
2020/08/08,"South East",11,0,0,0,8,0,0,,,,,,,
2020/08/08,"South East",,0,,,,,0,,,,,,,
2020/08/08,"South East",,3,,,,,0,,,,,,,
2020/08/08,"South East",,0,,,,,0,,,,,,,
2020/08/08,Total,1433,168,8,5,1245,20,22,,,,453,452,249,51
2020/08/09,"Far North West",346,1,0,0,338,7,0,,,,,,,
2020/08/09,"Far North West",,0,,,,,0,,,,,,,
2020/08/09,"Far North Central",0,0,0,0,0,0,0,,,,,,,
2020/08/09,"Far North East",6,0,0,0,6,0,0,,,,,,,
2020/08/09,"Far North East",,0,,,,,0,,,,,,,
2020/08/09,"North West",100,1,0,0,87,4,0,,,,,,,
2020/08/09,"North West",,2,,,,,0,,,,,,,
2020/08/09,"North West",,5,,,,,1,,,,,,,
2020/08/09,"North West",,1,,,,,0,,,,,,,
2020/08/09,"North Central",66,4,0,0,61,1,0,,,,,,,
2020/08/09,"North Central",,0,,,,,0,,,,,,,
2020/08/09,"North Central",,0,,,,,0,,,,,,,
2020/08/09,"North East",65,1,0,0,52,0,0,,,,,,,
2020/08/09,"North East",,12,,,,,0,,,,,,,
2020/08/09,"North East",,0,,,,,0,,,,,,,
2020/08/09,Saskatoon,224,12,3,3,210,2,1,,,,,,,
2020/08/09,"Central West",160,22,0,0,118,0,0,,,,,,,
2020/08/09,"Central West",,20,,,,,1,,,,,,,
2020/08/09,"Central East",30,0,0,0,26,1,0,,,,,,,
2020/08/09,"Central East",,3,,,,,0,,,,,,,
2020/08/09,"Central East",,0,,,,,0,,,,,,,
2020/08/09,"Central East",,0,,,,,0,,,,,,,
2020/08/09,"Central East",,0,,,,,0,,,,,,,
2020/08/09,Regina,118,29,1,1,87,2,5,,,,,,,
2020/08/09,"South West",156,18,2,2,132,1,1,,,,,,,
2020/08/09,"South West",,5,,,,,2,,,,,,,
2020/08/09,"South Central",162,27,1,1,131,2,3,,,,,,,
2020/08/09,"South Central",,2,,,,,0,,,,,,,
2020/08/09,"South East",11,0,0,0,9,0,0,,,,,,,
2020/08/09,"South East",,0,,,,,0,,,,,,,
2020/08/09,"South East",,2,,,,,0,,,,,,,
2020/08/09,"South East",,0,,,,,0,,,,,,,
2020/08/09,Total,1445,168,7,6,1257,20,15,,,,458,456,248,54
2020/08/10,"Far North West",346,1,0,0,338,7,0,,,,,,,
2020/08/10,"Far North West",,0,,,,,0,,,,,,,
2020/08/10,"Far North Central",0,0,0,0,0,0,0,,,,,,,
2020/08/10,"Far North East",6,0,0,0,6,0,0,,,,,,,
2020/08/10,"Far North East",,0,,,,,0,,,,,,,
2020/08/10,"North West",100,1,0,0,88,4,0,,,,,,,
2020/08/10,"North West",,2,,,,,0,,,,,,,
2020/08/10,"North West",,4,,,,,0,,,,,,,
2020/08/10,"North West",,1,,,,,0,,,,,,,
2020/08/10,"North Central",66,4,0,1,61,1,0,,,,,,,
2020/08/10,"North Central",,0,,,,,0,,,,,,,
2020/08/10,"North Central",,0,,,,,0,,,,,,,
2020/08/10,"North East",65,1,0,0,52,0,0,,,,,,,
2020/08/10,"North East",,12,,,,,0,,,,,,,
2020/08/10,"North East",,0,,,,,0,,,,,,,
2020/08/10,Saskatoon,225,13,3,3,210,2,1,,,,,,,
2020/08/10,"Central West",160,21,0,0,120,0,0,,,,,,,
2020/08/10,"Central West",,19,,,,,0,,,,,,,
2020/08/10,"Central East",30,0,0,0,26,1,0,,,,,,,
2020/08/10,"Central East",,3,,,,,0,,,,,,,
2020/08/10,"Central East",,0,,,,,0,,,,,,,
2020/08/10,"Central East",,0,,,,,0,,,,,,,
2020/08/10,"Central East",,0,,,,,0,,,,,,,
2020/08/10,Regina,121,30,1,0,89,2,3,,,,,,,
2020/08/10,"South West",156,18,3,1,132,1,0,,,,,,,
2020/08/10,"South West",,5,,,,,0,,,,,,,
2020/08/10,"South Central",163,25,1,0,134,2,1,,,,,,,
2020/08/10,"South Central",,2,,,,,0,,,,,,,
2020/08/10,"South East",11,0,0,0,9,0,0,,,,,,,
2020/08/10,"South East",,0,,,,,0,,,,,,,
2020/08/10,"South East",,2,,,,,0,,,,,,,
2020/08/10,"South East",,0,,,,,0,,,,,,,
2020/08/10,Total,1450,165,8,5,1265,20,5,,,,259,259,248,54
2020/08/11,"Far North West",346,1,0,0,338,7,0,,,,,,,
2020/08/11,"Far North West",,0,,,,,0,,,,,,,
2020/08/11,"Far North Central",0,0,0,0,0,0,0,,,,,,,
2020/08/11,"Far North East",6,0,0,0,6,0,0,,,,,,,
2020/08/11,"Far North East",,0,,,,,0,,,,,,,
2020/08/11,"North West",101,1,0,0,90,4,0,,,,,,,
2020/08/11,"North West",,1,,,,,0,,,,,,,
2020/08/11,"North West",,4,,,,,1,,,,,,,
2020/08/11,"North West",,1,,,,,0,,,,,,,
2020/08/11,"North Central",66,4,0,1,61,1,0,,,,,,,
2020/08/11,"North Central",,0,,,,,0,,,,,,,
2020/08/11,"North Central",,0,,,,,0,,,,,,,
2020/08/11,"North East",65,0,0,0,58,0,0,,,,,,,
2020/08/11,"North East",,7,,,,,0,,,,,,,
2020/08/11,"North East",,0,,,,,1,,,,,,,
2020/08/11,Saskatoon,242,29,3,3,211,2,17,,,,,,,
2020/08/11,"Central West",160,13,0,0,131,0,0,,,,,,,
2020/08/11,"Central West",,16,,,,,0,,,,,,,
2020/08/11,"Central East",30,0,0,0,26,1,0,,,,,,,
2020/08/11,"Central East",,3,,,,,0,,,,,,,
2020/08/11,"Central East",,0,,,,,0,,,,,,,
2020/08/11,"Central East",,0,,,,,0,,,,,,,
2020/08/11,"Central East",,0,,,,,0,,,,,,,
2020/08/11,Regina,125,34,1,0,89,2,4,,,,,,,
2020/08/11,"South West",160,15,1,1,137,1,2,,,,,,,
2020/08/11,"South West",,7,,,,,2,,,,,,,
2020/08/11,"South Central",166,25,1,0,137,2,3,,,,,,,
2020/08/11,"South Central",,2,,,,,0,,,,,,,
2020/08/11,"South East",11,0,0,0,10,0,0,,,,,,,
2020/08/11,"South East",,0,,,,,0,,,,,,,
2020/08/11,"South East",,1,,,,,0,,,,,,,
2020/08/11,"South East",,0,,,,,0,,,,,,,
2020/08/11,Total,1479,165,6,5,1294,20,29,,,,465,471,253,54
2020/08/12,"Far North West",346,1,0,0,338,7,0,,,,,,,
2020/08/12,"Far North West",,0,,,,,0,,,,,,,
2020/08/12,"Far North Central",0,0,0,0,0,0,0,,,,,,,
2020/08/12,"Far North East",6,0,0,0,6,0,0,,,,,,,
2020/08/12,"Far North East",,0,,,,,0,,,,,,,
2020/08/12,"North West",101,1,0,0,91,4,0,,,,,,,
2020/08/12,"North West",,1,,,,,0,,,,,,,
2020/08/12,"North West",,4,,,,,0,,,,,,,
2020/08/12,"North West",,0,,,,,0,,,,,,,
2020/08/12,"North Central",67,4,0,1,61,1,0,,,,,,,
2020/08/12,"North Central",,1,,,,,1,,,,,,,
2020/08/12,"North Central",,0,,,,,0,,,,,,,
2020/08/12,"North East",65,0,0,0,61,0,0,,,,,,,
2020/08/12,"North East",,4,,,,,0,,,,,,,
2020/08/12,"North East",,0,,,,,0,,,,,,,
2020/08/12,Saskatoon,242,28,3,3,212,2,0,,,,,,,
2020/08/12,"Central West",160,10,0,0,144,0,0,,,,,,,
2020/08/12,"Central West",,6,,,,,0,,,,,,,
2020/08/12,"Central East",30,0,0,0,26,1,0,,,,,,,
2020/08/12,"Central East",,3,,,,,0,,,,,,,
2020/08/12,"Central East",,0,,,,,0,,,,,,,
2020/08/12,"Central East",,0,,,,,0,,,,,,,
2020/08/12,"Central East",,0,,,,,0,,,,,,,
2020/08/12,Regina,129,38,1,0,89,2,4,,,,,,,
2020/08/12,"South West",160,13,0,1,139,1,0,,,,,,,
2020/08/12,"South West",,7,,,,,0,,,,,,,
2020/08/12,"South Central",166,25,1,0,137,2,0,,,,,,,
2020/08/12,"South Central",,2,,,,,0,,,,,,,
2020/08/12,"South East",11,0,0,0,10,0,0,,,,,,,
2020/08/12,"South East",,0,,,,,0,,,,,,,
2020/08/12,"South East",,1,,,,,0,,,,,,,
2020/08/12,"South East",,0,,,,,0,,,,,,,
2020/08/12,Total,1484,150,5,5,1314,20,5,,,,467,471,253,54
2020/08/13,"Far North West",346,0,0,0,339,7,0,,,,,,,
2020/08/13,"Far North West",,0,,,,,0,,,,,,,
2020/08/13,"Far North Central",0,0,0,0,0,0,0,,,,,,,
2020/08/13,"Far North East",6,0,0,0,6,0,0,,,,,,,
2020/08/13,"Far North East",,0,,,,,0,,,,,,,
2020/08/13,"North West",101,1,0,0,91,4,0,,,,,,,
2020/08/13,"North West",,1,,,,,0,,,,,,,
2020/08/13,"North West",,4,,,,,0,,,,,,,
2020/08/13,"North West",,0,,,,,0,,,,,,,
2020/08/13,"North Central",67,3,1,1,62,1,0,,,,,,,
2020/08/13,"North Central",,1,,,,,0,,,,,,,
2020/08/13,"North Central",,0,,,,,0,,,,,,,
2020/08/13,"North East",65,0,0,0,61,0,0,,,,,,,
2020/08/13,"North East",,4,,,,,0,,,,,,,
2020/08/13,"North East",,0,,,,,0,,,,,,,
2020/08/13,Saskatoon,245,29,3,3,214,2,3,,,,,,,
2020/08/13,"Central West",160,10,0,0,146,0,0,,,,,,,
2020/08/13,"Central West",,4,,,,,0,,,,,,,
2020/08/13,"Central East",30,0,0,0,26,1,0,,,,,,,
2020/08/13,"Central East",,3,,,,,0,,,,,,,
2020/08/13,"Central East",,0,,,,,0,,,,,,,
2020/08/13,"Central East",,0,,,,,0,,,,,,,
2020/08/13,"Central East",,0,,,,,0,,,,,,,
2020/08/13,Regina,131,40,1,0,89,2,2,,,,,,,
2020/08/13,"South West",178,11,0,1,141,1,0,,,,,,,
2020/08/13,"South West",,25,,,,,18,,,,,,,
2020/08/13,"South Central",170,28,1,0,139,2,4,,,,,,,
2020/08/13,"South Central",,1,,,,,0,,,,,,,
2020/08/13,"South East",11,0,0,0,11,0,0,,,,,,,
2020/08/13,"South East",,0,,,,,0,,,,,,,
2020/08/13,"South East",,0,,,,,0,,,,,,,
